DisplayImage	corrAns	ishihara_pics.thisRepN	ishihara_pics.thisTrialN	ishihara_pics.thisN	ishihara_pics.thisIndex	blocks.thisRepN	blocks.thisTrialN	blocks.thisN	blocks.thisIndex	thisRow.t	notes	Settings.started	Settings.stopped	demographics.started	demographics.stopped	demographic_form.index	demographic_form.itemText	demographic_form.type	demographic_form.font	demographic_form.markerColor	demographic_form.response	demographic_form.rt	education.started	education.stopped	edu_form.index	edu_form.itemText	edu_form.type	edu_form.font	edu_form.markerColor	edu_form.response	edu_form.rt	Ishihara.started	Ishihara.stopped	ishihara_number.text	no_text_blocks_self_paced.started	no_text_blocks_self_paced.stopped	text_blocks_self_paced.started	colour	target	nback_response	nback_RT	duration	text_nr	trial_nr	block_nr	block_name	block_kind	word	global_onset_time	question	button_pressed	chosen_ans	ans_correct	block_nr_exp	n-back_level	text_blocks_self_paced.stopped	text_blocks_paced.started	text_blocks_paced.stopped	no_text_blocks_paced.started	no_text_blocks_paced.stopped	pseudotext.started	pseudotext.stopped	curr_0back_target	RT_per_letter_baseline	RT_per_letter_0back	RT_per_letter_1bck	RT_per_letter_2bck	RT_per_rect_1back_single	RT_per_rect_2back_single	end.started	end.stopped	participant	self-paced_blocks	paced_blocks	testing_mode	date	expName	psychopyVersion	expStart	
						1	0	1	0																													#F989A2	None	None	None	913.0730628967285	text_02	7	1	Reading_Baseline_main_click	None	Urzeit-Krokodils																								MA02	yes	yes	no	2024-08-28_09h31.14.714	EXNAT_3_training	2024.1.0	2024-08-28 09h33.31.851922 +0200	
						1	0	1	0																													#88BA3F	None	None	None	781.641960144043	text_02	8	1	Reading_Baseline_main_click	None	entdeckt.																								MA02	yes	yes	no	2024-08-28_09h31.14.714	EXNAT_3_training	2024.1.0	2024-08-28 09h33.31.851922 +0200	
						1	0	1	0																													#88BA3F	None	None	None	667.3510074615479	text_02	9	1	Reading_Baseline_main_click	None	Es																								MA02	yes	yes	no	2024-08-28_09h31.14.714	EXNAT_3_training	2024.1.0	2024-08-28 09h33.31.851922 +0200	
						1	0	1	0																													#D292F3	None	None	None	698.6939907073975	text_02	10	1	Reading_Baseline_main_click	None	zeigt																								MA02	yes	yes	no	2024-08-28_09h31.14.714	EXNAT_3_training	2024.1.0	2024-08-28 09h33.31.851922 +0200	
						1	0	1	0																													#F989A2	None	None	None	831.852912902832	text_02	11	1	Reading_Baseline_main_click	None	Ähnlichkeiten																								MA02	yes	yes	no	2024-08-28_09h31.14.714	EXNAT_3_training	2024.1.0	2024-08-28 09h33.31.851922 +0200	
						1	0	1	0																													#2AB7EF	None	None	None	699.4149684906006	text_02	12	1	Reading_Baseline_main_click	None	zu																								MA02	yes	yes	no	2024-08-28_09h31.14.714	EXNAT_3_training	2024.1.0	2024-08-28 09h33.31.851922 +0200	
						1	0	1	0																													#F989A2	None	None	None	864.966869354248	text_02	13	1	Reading_Baseline_main_click	None	Säugetieren.																								MA02	yes	yes	no	2024-08-28_09h31.14.714	EXNAT_3_training	2024.1.0	2024-08-28 09h33.31.851922 +0200	
						1	0	1	0																													#88BA3F	None	None	None	849.9147891998291	text_02	14	1	Reading_Baseline_main_click	None	Es																								MA02	yes	yes	no	2024-08-28_09h31.14.714	EXNAT_3_training	2024.1.0	2024-08-28 09h33.31.851922 +0200	
						1	0	1	0																													#D292F3	None	None	None	698.3048915863037	text_02	15	1	Reading_Baseline_main_click	None	war																								MA02	yes	yes	no	2024-08-28_09h31.14.714	EXNAT_3_training	2024.1.0	2024-08-28 09h33.31.851922 +0200	
						1	0	1	0																													#2AB7EF	None	None	None	681.5569400787354	text_02	16	1	Reading_Baseline_main_click	None	so																								MA02	yes	yes	no	2024-08-28_09h31.14.714	EXNAT_3_training	2024.1.0	2024-08-28 09h33.31.851922 +0200	
						1	0	1	0																													#F989A2	None	None	None	598.2661247253418	text_02	17	1	Reading_Baseline_main_click	None	groß																								MA02	yes	yes	no	2024-08-28_09h31.14.714	EXNAT_3_training	2024.1.0	2024-08-28 09h33.31.851922 +0200	
						1	0	1	0																													#F989A2	None	None	None	698.9960670471191	text_02	18	1	Reading_Baseline_main_click	None	wie																								MA02	yes	yes	no	2024-08-28_09h31.14.714	EXNAT_3_training	2024.1.0	2024-08-28 09h33.31.851922 +0200	
						1	0	1	0																													#2AB7EF	None	None	None	599.3671417236328	text_02	19	1	Reading_Baseline_main_click	None	eine																								MA02	yes	yes	no	2024-08-28_09h31.14.714	EXNAT_3_training	2024.1.0	2024-08-28 09h33.31.851922 +0200	
						1	0	1	0																													#2AB7EF	None	None	None	698.4210014343262	text_02	20	1	Reading_Baseline_main_click	None	Katze.																								MA02	yes	yes	no	2024-08-28_09h31.14.714	EXNAT_3_training	2024.1.0	2024-08-28 09h33.31.851922 +0200	
