DisplayImage	corrAns	ishihara_pics.thisRepN	ishihara_pics.thisTrialN	ishihara_pics.thisN	ishihara_pics.thisIndex	blocks.thisRepN	blocks.thisTrialN	blocks.thisN	blocks.thisIndex	thisRow.t	notes	Settings.started	Settings.stopped	demographics.started	demographics.stopped	demographic_form.index	demographic_form.itemText	demographic_form.type	demographic_form.font	demographic_form.markerColor	demographic_form.response	demographic_form.rt	education.started	education.stopped	edu_form.index	edu_form.itemText	edu_form.type	edu_form.font	edu_form.markerColor	edu_form.response	edu_form.rt	Ishihara.started	Ishihara.stopped	ishihara_number.text	no_text_blocks_self_paced.started	no_text_blocks_self_paced.stopped	text_blocks_self_paced.started	colour	target	nback_response	nback_RT	duration	text_nr	trial_nr	block_nr	block_name	block_kind	word	global_onset_time	question	button_pressed	chosen_ans	ans_correct	block_nr_exp	n-back_level	text_blocks_self_paced.stopped	text_blocks_paced.started	text_blocks_paced.stopped	no_text_blocks_paced.started	no_text_blocks_paced.stopped	pseudotext.started	pseudotext.stopped	curr_0back_target	RT_per_letter_baseline	RT_per_letter_0back	RT_per_letter_1bck	RT_per_letter_2bck	RT_per_rect_1back_single	RT_per_rect_2back_single	end.started	end.stopped	participant	testing_mode	date	expName	psychopyVersion	expStart	
						0	0	0	0																													#D292F3	None	None	None	481.98390007019043	reading_bl_training_text	28	0	Reading_Baseline_training_click	None	nach																								YA01	no	2024-08-26_11h08.59.930	EXNAT_3_training	2024.1.0	2024-08-26 11h09.10.324995 +0200	
						0	0	0	0																													#88BA3F	None	None	None	631.9308280944824	reading_bl_training_text	29	0	Reading_Baseline_training_click	None	Argentinien																								YA01	no	2024-08-26_11h08.59.930	EXNAT_3_training	2024.1.0	2024-08-26 11h09.10.324995 +0200	
						0	0	0	0																													#2AB7EF	None	None	None	448.1480121612549	reading_bl_training_text	30	0	Reading_Baseline_training_click	None	reiste.																								YA01	no	2024-08-26_11h08.59.930	EXNAT_3_training	2024.1.0	2024-08-26 11h09.10.324995 +0200	
						0	0	0	0																																		reading_bl_training_text			Reading_Baseline_training_click			468.7299690246582	Q1	2	b	False	1	None																	YA01	no	2024-08-26_11h08.59.930	EXNAT_3_training	2024.1.0	2024-08-26 11h09.10.324995 +0200	
						0	0	0	0																																		reading_bl_training_text			Reading_Baseline_training_click			469.330374956131	Q2	3	c	True	1	None																	YA01	no	2024-08-26_11h08.59.930	EXNAT_3_training	2024.1.0	2024-08-26 11h09.10.324995 +0200	
						0	0	0	0																																		reading_bl_training_text			Reading_Baseline_training_click			478.8485851287842	Q3	2	b	False	1	None																	YA01	no	2024-08-26_11h08.59.930	EXNAT_3_training	2024.1.0	2024-08-26 11h09.10.324995 +0200	
						0	0	0	0																																															485.74557304382324	485.7455930709839	485.784775018692	485.7847890853882	485.79392194747925	485.7939329147339	485.8110189437866										YA01	no	2024-08-26_11h08.59.930	EXNAT_3_training	2024.1.0	2024-08-26 11h09.10.324995 +0200	
						1	0	1	0	485.82725501060486																									485.81136894226074	485.827299118042	485.8273069858551	#F989A2	None	None	None	615.2219772338867	text_02	1	1	Reading_Baseline_main_click	None	In																								YA01	no	2024-08-26_11h08.59.930	EXNAT_3_training	2024.1.0	2024-08-26 11h09.10.324995 +0200	
						1	0	1	0																													#88BA3F	None	None	None	516.1950588226318	text_02	2	1	Reading_Baseline_main_click	None	Tansania																								YA01	no	2024-08-26_11h08.59.930	EXNAT_3_training	2024.1.0	2024-08-26 11h09.10.324995 +0200	
						1	0	1	0																													#2AB7EF	None	None	None	646.7671394348145	text_02	3	1	Reading_Baseline_main_click	None	haben																								YA01	no	2024-08-26_11h08.59.930	EXNAT_3_training	2024.1.0	2024-08-26 11h09.10.324995 +0200	
