blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,empty_placeholder.started,word,colour,target,nback_response,nback_RT,block_kind,duration,text_nr,block_nr,trial_nr,participant,age,handedness,gender,testing_mode,date,expName,psychopyVersion,frameRate,
0,0,0,0,,aufsprühte,#F989A2,None,None,None,None,0.18521357300051022,reading_bl_training_text,Reading_Baseline_training,88,,,r,w,no,2023-03-24_10h23.16.823,EXNAT-2,2022.2.5,375.9614743478901,
0,0,0,0,,-,#88BA3F,None,None,None,None,0.1501998790045036,reading_bl_training_text,Reading_Baseline_training,89,,,r,w,no,2023-03-24_10h23.16.823,EXNAT-2,2022.2.5,375.9614743478901,
0,0,0,0,,anscheinend,#D292F3,None,None,None,None,0.16569112599245273,reading_bl_training_text,Reading_Baseline_training,90,,,r,w,no,2023-03-24_10h23.16.823,EXNAT-2,2022.2.5,375.9614743478901,
0,0,0,0,,war,#D292F3,None,None,None,None,0.17455614799109753,reading_bl_training_text,Reading_Baseline_training,91,,,r,w,no,2023-03-24_10h23.16.823,EXNAT-2,2022.2.5,375.9614743478901,
0,0,0,0,,irgendein,#88BA3F,None,None,None,None,0.16021382799954154,reading_bl_training_text,Reading_Baseline_training,92,,,r,w,no,2023-03-24_10h23.16.823,EXNAT-2,2022.2.5,375.9614743478901,
0,0,0,0,,Prominenter,#2AB7EF,None,None,None,None,0.16168708799523301,reading_bl_training_text,Reading_Baseline_training,93,,,r,w,no,2023-03-24_10h23.16.823,EXNAT-2,2022.2.5,375.9614743478901,
0,0,0,0,,knapp,#2AB7EF,None,None,None,None,0.16771613400487695,reading_bl_training_text,Reading_Baseline_training,94,,,r,w,no,2023-03-24_10h23.16.823,EXNAT-2,2022.2.5,375.9614743478901,
0,0,0,0,,vor,#F989A2,None,None,None,None,0.159868649992859,reading_bl_training_text,Reading_Baseline_training,95,,,r,w,no,2023-03-24_10h23.16.823,EXNAT-2,2022.2.5,375.9614743478901,
0,0,0,0,,der,#2AB7EF,None,None,None,None,0.16633354700752534,reading_bl_training_text,Reading_Baseline_training,96,,,r,w,no,2023-03-24_10h23.16.823,EXNAT-2,2022.2.5,375.9614743478901,
0,0,0,0,,Abfahrt,#F989A2,None,None,None,None,0.15606578400183935,reading_bl_training_text,Reading_Baseline_training,97,,,r,w,no,2023-03-24_10h23.16.823,EXNAT-2,2022.2.5,375.9614743478901,
0,0,0,0,,noch,#D292F3,None,None,None,None,0.14767730099265464,reading_bl_training_text,Reading_Baseline_training,98,,,r,w,no,2023-03-24_10h23.16.823,EXNAT-2,2022.2.5,375.9614743478901,
0,0,0,0,,rasch,#2AB7EF,None,None,None,None,0.16658893700514454,reading_bl_training_text,Reading_Baseline_training,99,,,r,w,no,2023-03-24_10h23.16.823,EXNAT-2,2022.2.5,375.9614743478901,
0,0,0,0,,von,#88BA3F,None,None,None,None,0.1684118480043253,reading_bl_training_text,Reading_Baseline_training,100,,,r,w,no,2023-03-24_10h23.16.823,EXNAT-2,2022.2.5,375.9614743478901,
